"BL","RGB","Kreis","Gkz","Wirtschaftsraum","Ort","Einwohner","Plz","Block neu"
"SWH",10,1053,1053129,"Hamburg","Wentorf bei Hamburg",11096,"21465","B"
"SWH",10,1062,1062060,"Hamburg","Reinbek, Stadt",24960,"21465","B"
"SWH",10,1053,1053083,"Hamburg","Lauenburg/ Elbe, Stadt",11807,"21481","B"
"SWH",10,1053,1053116,"Hamburg","Schwarzenbek, Stadt",14730,"21493","B"
"SWH",10,1053,1053032,"Hamburg","Geesthacht, Stadt",29391,"21502","B"
"SWH",10,1062,1062018,"Hamburg","Glinde, Stadt",16124,"21509","B"
"SWH",10,1053,1053020,"Hamburg","Büchen",5473,"21514","B"
"SWH",10,1062,1062053,"Hamburg","Oststeinbek",7899,"22113","B"
"SWH",10,1062,1062053,"Hamburg","Oststeinbek",7899,"22113","B"
"SWH",10,1060,1060063,"Hamburg","Norderstedt, Stadt",71990,"22846","B"
"SWH",10,1056,1056044,"Hamburg","Schenefeld, Stadt",17871,"22869","B"
"SWH",10,1056,1056050,"Hamburg","Wedel, Stadt",32354,"22880","B"
"SWH",10,1062,1062009,"Hamburg","Barsbüttel",12170,"22885","B"
"SWH",10,1062,1062076,"Hamburg","Tangstedt",6119,"22889","B"
"SWH",10,1062,1062001,"Hamburg","Ahrensburg, Stadt",30068,"22926","B"
"SWH",10,1062,1062023,"Hamburg","Großhansdorf",8987,"22927","B"
"SWH",10,1062,1062006,"Hamburg","Bargteheide, Stadt",13820,"22941","B"
"SWH",10,1062,1062020,"Hamburg","Grande",672,"22946","B"
"SWH",10,1062,1062082,"Hamburg","Trittau",7562,"22946","B"
"SWH",10,1062,1062090,"Hamburg","Ammersbek",9141,"22949","B"
"SWH",10,1062,1062045,"Hamburg","Lütjensee",3129,"22952","B"
"SWH",10,1062,1062086,"Hamburg","Witzhave",1359,"22969","B"
"SWH",10,1003,1003000,"Hamburg","Lübeck, Hansestadt",213301,"23539","A"
"SWH",10,1055,1055004,,"Bad Schwartau, Stadt",20095,"23611","B"
"SWH",10,1055,1055040,,"Stockelsdorf",16286,"23617","B"
"SWH",10,1055,1055001,,"Ahrensbök",8505,"23623","B"
