"nielsen","plz","ort"
"7",1067,"Dresden"
"7",1069,"Dresden"
"7",1097,"Dresden"
"7",1099,"Dresden"
"7",1108,"Dresden"
"7",1109,"Dresden"
"7",1127,"Dresden"
"7",1129,"Dresden"
"7",1139,"Dresden"
"7",1156,"Dresden"
"7",1157,"Dresden"
"7",1159,"Dresden"
"7",1169,"Dresden"
"7",1187,"Dresden"
"7",1189,"Dresden"
"7",1217,"Dresden"
"7",1219,"Dresden"
"7",1237,"Dresden"
"7",1239,"Dresden"
"7",1257,"Dresden"
"7",1259,"Dresden"
"7",1277,"Dresden"
"7",1279,"Dresden"
"7",1307,"Dresden"
"7",1309,"Dresden"
"7",1324,"Dresden"
"7",1326,"Dresden"
"7",1328,"Dresden"
"7",1445,"Radebeul"
"7",1454,"Radeberg"
"7",1454,"Wachau"
"7",1458,"Ottendorf-Okrilla"
"7",1462,"Dresden"
"7",1465,"Dresden"
"7",1465,"Langebrück"
"7",1468,"Moritzburg"
"7",1471,"Radeburg"
"7",1477,"Arnsdorf"
"7",1478,"Dresden"
"7",1558,"Großenhain"
"7",1561,"Schönfeld"
"7",1561,"Lampertswalde"
"7",1561,"Tauscha"
"7",1561,"Priestewitz"
"7",1561,"Ebersbach"
"7",1561,"Weißig am Raschütz"
"7",1561,"Wildenhain"
"7",1561,"Thiendorf"
"7",1561,"Zabeltitz"
"7",1587,"Riesa"
"7",1589,"Riesa"
"7",1591,"Riesa"
"7",1594,"Hirschstein"
"7",1594,"Stauchitz"
"7",1609,"Gröditz"
"7",1609,"Nauwalde"
"7",1609,"Wülknitz"
"7",1612,"Glaubitz"
"7",1612,"Diesbar-Seußlitz"
"7",1612,"Nünchritz"
"7",1616,"Strehla"
"7",1619,"Röderaue"
"7",1619,"Zeithain"
"7",1623,"Lommatzsch"
"7",1623,"Leuben-Schleinitz"
"7",1623,"Ketzerbachtal"
"7",1640,"Coswig"
"7",1662,"Meißen"
"7",1665,"Triebischtal"
"7",1665,"Taubenheim"
"7",1665,"Käbschütztal"
"7",1665,"Diera-Zehren"
"7",1665,"Klipphausen"
"7",1683,"Heynitz"
"7",1683,"Nossen"
"7",1689,"Weinböhla"
"7",1689,"Niederau"
"7",1705,"Freital"
"7",1723,"Wilsdruff"
"7",1728,"Bannewitz"
"7",1731,"Kreischa"
"7",1734,"Rabenau"
"7",1737,"Tharandt"
"7",1738,"Dorfhain"
"7",1744,"Dippoldiswalde"
"7",1762,"Schmiedeberg"
"7",1762,"Hartmannsdorf-Reichenau"
"7",1768,"Glashütte"
"7",1768,"Bärenstein"
"7",1768,"Reinhardtsgrimma"
"7",1773,"Altenberg"
"7",1774,"Höckendorf"
"7",1774,"Pretzschendorf"
"7",1776,"Hermsdorf/Erzgebirge"
"7",1778,"Geising"
"7",1796,"Pirna"
"7",1796,"Struppen"
"7",1796,"Dohma"
"7",1809,"Müglitztal"
"7",1809,"Dohna"
"7",1809,"Heidenau"
"7",1814,"Bad Schandau"
"7",1814,"Reinhardtsdorf-Schöna"
